city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gorontalo,0.54,123.06,75.36,89,69,2.8,ID,1595256634
1,urumqi,43.8,87.6,82.4,34,100,4.47,CN,1595256634
2,saint george,37.1,-113.58,84.99,20,1,5.82,US,1595256634
3,bethel,41.37,-73.41,84.0,69,1,8.05,US,1595256634
4,east london,-33.02,27.91,73.4,25,0,5.82,ZA,1595256635
5,busselton,-33.65,115.33,50.0,60,100,10.18,AU,1595256635
6,ust-maya,60.42,134.53,68.68,61,100,14.38,RU,1595256635
7,henties bay,-22.12,14.28,77.5,23,0,9.24,NA,1595256635
8,rikitea,-23.12,-134.97,68.47,57,85,13.09,PF,1595256635
9,codrington,-38.27,141.97,50.14,77,70,6.91,AU,1595256636
10,kapaa,22.08,-159.32,78.8,78,90,16.11,US,1595256636
11,hermanus,-34.42,19.23,63.0,70,0,5.01,ZA,1595256636
12,puerto penasco,31.32,-113.53,86.0,84,5,8.01,MX,1595256636
13,mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595256636
14,lavrentiya,65.58,-171.0,43.54,81,89,8.66,RU,1595256636
15,vaini,-21.2,-175.2,71.6,94,20,10.29,TO,1595256637
16,atuona,-9.8,-139.03,79.56,76,18,16.75,PF,1595256637
17,barinitas,8.76,-70.41,82.42,60,24,5.19,VE,1595256637
18,kawalu,-7.38,108.21,72.77,92,75,1.88,ID,1595256637
19,tuktoyaktuk,69.45,-133.04,44.6,87,90,9.17,CA,1595256637
20,breves,-1.68,-50.48,90.37,47,89,5.26,BR,1595256638
21,ushuaia,-54.8,-68.3,26.6,100,20,5.82,AR,1595256638
22,pochutla,15.74,-96.47,82.99,78,75,1.92,MX,1595256638
23,phalodi,27.13,72.37,96.71,46,0,22.37,IN,1595256638
24,port alfred,-33.59,26.89,64.94,52,0,4.23,ZA,1595256638
25,puerto escondido,15.85,-97.07,80.6,74,75,5.82,MX,1595256632
26,albany,42.6,-73.97,84.0,55,71,1.01,US,1595256639
27,kadnikov,59.5,40.34,65.03,89,100,3.13,RU,1595256639
28,kirksville,40.19,-92.58,75.0,88,20,5.82,US,1595256351
29,ayr,55.46,-4.63,59.0,72,75,13.87,GB,1595256639
30,nouadhibou,20.93,-17.03,84.2,54,65,8.05,MR,1595256535
31,waipawa,-41.41,175.52,54.0,85,100,8.72,NZ,1595256639
32,ayni,39.39,68.54,71.83,34,83,1.59,TJ,1595256640
33,san quintin,30.48,-115.95,72.97,62,0,14.54,MX,1595256640
34,jamestown,42.1,-79.24,75.99,73,75,9.17,US,1595256568
35,asau,46.43,26.4,70.0,93,75,16.11,RO,1595256640
36,punta arenas,-53.15,-70.92,30.2,92,75,2.24,CL,1595256640
37,sumbe,-11.21,13.84,75.2,71,20,6.93,AO,1595256640
38,roald,62.58,6.13,57.2,67,40,19.46,NO,1595256641
39,hithadhoo,-0.6,73.08,84.13,78,100,15.12,MV,1595256641
40,bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1595256641
41,butaritari,3.07,172.79,82.76,67,99,7.67,KI,1595256641
42,klaksvik,62.23,-6.59,51.8,87,89,8.05,FO,1595256642
43,maltahohe,-24.83,16.98,72.5,17,0,14.45,NA,1595256642
44,marihatag,8.79,126.3,80.38,79,98,0.47,PH,1595256642
45,grindavik,63.84,-22.43,50.0,76,75,3.36,IS,1595256642
46,jiuquan,39.74,98.52,78.17,17,100,5.95,CN,1595256643
47,dikson,73.51,80.55,41.88,91,31,11.68,RU,1595256643
48,puerto ayora,-0.74,-90.35,69.01,93,82,5.99,EC,1595256643
49,marevo,57.31,32.08,74.52,54,37,5.23,RU,1595256643
50,avarua,-21.21,-159.78,75.2,78,100,25.28,CK,1595256643
51,sao paulo de olivenca,-3.38,-68.87,86.86,61,75,2.46,BR,1595256644
52,guerrero negro,27.98,-114.06,72.84,67,0,3.02,MX,1595256364
53,palimbang,6.21,124.19,79.03,81,14,4.99,PH,1595256644
54,tongliao,43.61,122.27,75.27,34,48,6.53,CN,1595256644
55,aklavik,68.22,-135.01,50.0,71,90,2.24,CA,1595256644
56,castro,-24.79,-50.01,69.51,52,0,8.57,BR,1595256515
57,kodiak,57.79,-152.41,59.0,72,1,11.41,US,1595256645
58,ilo,-17.64,-71.34,64.4,72,90,4.7,PE,1595256645
59,mahebourg,-20.41,57.7,71.6,60,75,11.41,MU,1595256645
60,fabriano,43.34,12.91,87.01,42,17,5.01,IT,1595256645
61,natal,-5.79,-35.21,82.4,69,40,14.99,BR,1595256646
